application,review,rating,clean_review,sentiment
Alodokter,"Halo min, selamat pagi. Minggu kemarin sekitar tanggal 3 atau 4 februari, saya mau konsultasi, saya pilih yang chat premium dengan dokter spesialis. Padahal saya sudah bayar 25 ribu, tapi sampai sekarang belum dibalas juga. Bukan masalah duitnya sih, tapi saya butuh konsultasinya. Butuh banget. Tapi kenapa sampai sekarang belum dibalas juga ya ? 😌😌mohon pencerahannya min🙏terima kasih",2,halo min selamat pagi minggu kemarin tanggal 3 4 februari konsultasi pilih chat premium dokter spesialis bayar 25 ribu dibalas duitnya sih butuh konsultasinya butuh banget dibalas ya mohon pencerahannya minterima kasih,negative
Halodoc,Sudah beberapa kali konsultasi di halodoc dan responnya sangat memuaskan trimakasih banyak 🙏,4,kali konsultasi halodoc responnya memuaskan trimakasih,positive
Halodoc,saya baru melakukan pembayaran untuk konsultasi dan masuk ke halamat chat langsung selesai dan mau caht kembali dokter sedang sibuk. mohon info terkait kendala ini sangat butuh bantuan nya,1,pembayaran konsultasi masuk halamat chat langsung selesai caht dokter sibuk mohon info terkait kendala butuh bantuan nya,negative
Alodokter,respon dokter cepat,4,respon dokter cepat,positive
Halodoc,halodoc force close terus di samsung s24 fe,1,halodoc force close samsung s24 fe,negative
Halodoc,"Dokternya ramah""",3,dokternya ramah,negative
Halodoc,kenapa gabisa daftar?,1,gabisa daftar,negative
Halodoc,Sangat membantu saya di daerah pedesaan yang tidak ada dokter spesialis anak 🙏🙏🙏🌹🌹🌹🩷🩷🩷,5,membantu daerah pedesaan dokter spesialis anak,positive
Alodokter,Ok,3,ok,negative
Alodokter,Chat doang bayar😒😒,1,chat doang bayar,negative
Halodoc,"Mohon diperbaiki lagi kedepannya, saya baru download dan menggunakan aplikasi halodoc, dan saat pertama kali konsultasi dg dokter tampilan chat saya tidak ada, sehingga banyak waktu yg terbuang pd saat konsultasi. Untung dibantu oleh dokter y ke admin, Terimakasih.",4,mohon diperbaiki kedepannya download aplikasi halodoc kali konsultasi dg dokter tampilan chat yg terbuang pd konsultasi untung dibantu dokter y admin terimakasih,positive
Alodokter,paarah banget buang² duit ! gak respon sm skli² ! baru kali ini pke alo dokter begini!,1,paarah banget buang² duit gak respon sm skli² kali pke alo dokter,negative
Alodokter,penjelasan mudah dimengerti,5,penjelasan mudah dimengerti,positive
Alodokter,"Dokter saya mau nanya sejak saya ngelahir kan anak saya yg ke 3 sekarang dia sudah umur 7 tahun, saya tidak pernah dtg bulan",2,dokter nanya ngelahir anak yg 3 umur 7 dtg,negative
Alodokter,Sangat membantu,5,membantu,positive
Halodoc,"Sangat fast respon.. ramah,, semoga bisa berhasil",5,fast respon ramah semoga berhasil,positive
Alodokter,"Pesan obat di apk alodokter pengirimannya sangat lambat dan tidak sesuai dg estimasi yg dijanjikan, bahkan dokternya mengatakan maksimal 1 jam obat dikirim, tp kenyataannya pesan tgl 6 sampai skrg tanggal 14 blm sampai juga!!!!",1,pesan obat apk alodokter pengirimannya lambat sesuai dg estimasi yg dijanjikan dokternya maksimal 1 jam obat dikirim tp kenyataannya pesan tgl 6 skrg tanggal 14 blm,negative
Alodokter,nih mah aplikasi bukan pelayanan keluhan pasien masa konsultasi harus bayar Dokter ko bisnis nanya aja wajib bayar dan tidak ada solusi mending periksa langsung bisa di tangani dari pada pke aplikasi ini solusi gk ngabisin duit iyaa apa² mesti bayar bisnis Dokter di aplikasi ini mah jangan rugiin orang dah buruk sekali aplikasi ny,1,nih mah aplikasi pelayanan keluhan pasien konsultasi bayar dokter ko bisnis nanya aja wajib bayar solusi mending periksa langsung tangani pke aplikasi solusi gk ngabisin duit iyaa apa² mesti bayar bisnis dokter aplikasi mah rugiin orang dah buruk aplikasi ny,negative
Alodokter,Mau tanya dokter ada yg gratis gak ?,2,dokter yg gratis gak,negative
Halodoc,"Selain voice call dan video call,bisa kirim video g ya klo chat sma dokter?",3,voice call video callbisa kirim video g ya klo chat sma dokter,negative
Alodokter,"Saya baru saja dpt telpon mengatas namakan alodokter. Katanya dpt santunan DBD 2.000.000 . Mbak nya ngomong nya cepat banget ga ada jeda nya. Malah kaya maksa buat ngomong setuju. Aku kan jadi ga fokus, eh ternyata lihat ulasan dari yg sebelumnya katanya saldo rekening terpotong setiap bulan padahal sdh tidak pakai alodokter lg.",2,dpt telpon mengatas namakan alodokter dpt santunan dbd 2000000 mbak nya ngomong nya cepat banget ga jeda nya kaya maksa ngomong setuju ga fokus eh lihat ulasan yg saldo rekening terpotong sdh pakai alodokter lg,negative
Alodokter,Telah membantu,3,membantu,negative
Alodokter,cukup. Tapi kurang menguasai tiroid ya,4,menguasai tiroid ya,positive
Halodoc,"Dokter oke,baik,tetapi obat dari halodog tidak pakai kantong obat dan tidak ada tulisan aturan minum,telanjang tanpa kantong obat",3,dokter okebaiktetapi obat halodog pakai kantong obat tulisan aturan minumtelanjang kantong obat,negative
Halodoc,"gak bgt konsul disini, gak enak, dokter nya kalo ditanya jwb singkat bgt bales lama",1,gak bgt konsul gak enak dokter nya kalo jwb singkat bgt bales,negative
Halodoc,"mantap cepat, cuman untuk daerah pedesaan. untuk mendapatkan obat tidak bisa instan. harus nunggu 3 hari kendala kurir pengiriman",5,mantap cepat cuman daerah pedesaan obat instan nunggu 3 kendala kurir pengiriman,positive
Alodokter,"Kecewa, di chat tengah malem karena mendesak dibales 1 jam lebih, giliran blm dibales blm sampe 1 jam tiba2 disudahi",2,kecewa chat malem mendesak dibales 1 jam giliran blm dibales blm sampe 1 jam tiba2 disudahi,negative
Halodoc,bagus,3,bagus,negative
Halodoc,Kemudahan untuk konsultasi,4,kemudahan konsultasi,positive
Alodokter,pelayanan nya baik,5,pelayanan nya,positive
Halodoc,"Mohon maaf bintang 1, saya sudah sakit dan makin dibikin stress sama aplikasinya.",1,mohon maaf bintang 1 sakit dibikin stress aplikasinya,negative
Alodokter,"Saya baru coba, kalau resep yang diberikan sama dokter cocok, nanti bintang saya akan tambah lagi...",4,coba resep dokter cocok bintang,positive
Alodokter,hasil konsultasi blm memuaskan. tidak mendapatkan jawaban yang pasti. Hanya mendapatkan saran harus konsultasi lanjutan dengan dokter spesialis,2,hasil konsultasi blm memuaskan saran konsultasi lanjutan dokter spesialis,negative
Halodoc,Cukup baik.,2,,negative
Alodokter,Sangat Bagus Ketika Kita Tidak Bisa Kedokter Bisa Konsultasi Disini,2,bagus kedokter konsultasi,negative
Halodoc,"konsultasi cepat,pengiriman cepat sampai rumah...luar biasa",5,konsultasi cepatpengiriman cepat rumahluar,positive
Alodokter,"dokter yang sangat ramah , dan penjelasan sangat detail. trimakasi dok",5,dokter ramah penjelasan detail trimakasi dok,positive
Halodoc,buat mendesak rekomen bgt deh aplikasinya bagus sesuai keluhan pasti lngsung ada solusi mantapp👍,5,mendesak rekomen bgt deh aplikasinya bagus sesuai keluhan lngsung solusi mantapp,positive
Halodoc,Sangat baik,4,,positive
Alodokter,alodokter aplikasi chat dokter terbaik,3,alodokter aplikasi chat dokter terbaik,negative
Alodokter,dr viona belvia tripuspita sp.OG dr nya ramah dan membantu..,5,dr viona belvia tripuspita spog dr nya ramah membantu,positive
Alodokter,Baik,3,,negative
Alodokter,Sangat lama merespon,1,merespon,negative
Halodoc,Mohon konfirm utk refund uang brpa lama?,3,mohon konfirm utk refund uang brpa,negative
Alodokter,Sangat membantu,3,membantu,negative
Halodoc,"Saya sudah kirimkan keluhan beserta foto pendukung, dokter bertanya beberapa pertanyaan, ketika saya jawab hanya centang 1 sampai akhir waktu. Ternyata dokter sudah menerima jawaban saya, dan bertanya kembali terkait keluhan. Tetapi saya baru tahu ketika waktu sudah habis, dengan informasi yg sangat terbatas, karena aplikasinya eror (tidak dapat menerima pesan dari dokter), gimana hasil pemeriksaan bisa akurat ? 😊",1,kirimkan keluhan beserta foto pendukung dokter centang 1 dokter menerima terkait keluhan habis informasi yg terbatas aplikasinya eror menerima pesan dokter gimana hasil pemeriksaan akurat,negative
Alodokter,Sangat mmbantu,3,mmbantu,negative
Halodoc,Hallo HALODOC. Kenapa pesanan saya tidak sampai? Saya pesan dari tanggal 9 november sampai sekarang tanggal 19 november status nya masih 'terkonfirmasi' tidak ada perubahan sedikitpun. Kalaupun mau dibatalkan sudah tidak bisa dan tidak ada pilihan nya. Tolong dong konfirmasi pesanan saya,3,hallo halodoc pesanan pesan tanggal 9 november tanggal 19 november status nya terkonfirmasi perubahan sedikitpun dibatalkan pilihan nya tolong konfirmasi pesanan,negative
Alodokter,obat yang terjual di aloshop tidak lengkap,1,obat terjual aloshop lengkap,negative
Halodoc,Ga jelas dokter sibuk duitnya ga di refund,1,ga dokter sibuk duitnya ga refund,negative
Halodoc,Sangat membantu,4,membantu,positive
Halodoc,konsul dngn dokter ny sangat puas trima ksih sangat memmbantu sekali,5,konsul dngn dokter ny puas trima ksih memmbantu,positive
Halodoc,the best,5,the best,positive
Halodoc,Saya mau beli ostiocom 1 doa nya brapa harganya dan ongkirnya brapa,3,beli ostiocom 1 doa nya brapa harganya ongkirnya brapa,negative
Alodokter,Semoga sangat bermanfaat,2,semoga bermanfaat,negative
Halodoc,Aku suka pake aplikasi Halodoc respon dokter2 nx cepat,4,suka pake aplikasi halodoc respon dokter2 nx cepat,positive
Alodokter,sangat ramah dan penjelasan detail,5,ramah penjelasan detail,positive
Halodoc,aplikasinya sangat membantu,5,aplikasinya membantu,positive
Alodokter,Lumayan,4,lumayan,positive
Alodokter,cari tau tentang kesehatan.,4,cari tau kesehatan,positive
Alodokter,"Saya melakukan chat ke dokter spesialis dan menebus obat dari tiga hari yang lalu, saya tunggu2 obatnya tidak datang terus, tapi di aplikasi sudah ada notif pesanan sudah sampai ditujuan. Bagaimana ini aplikasi bobrok tidak bertanggung jawab!?.",1,chat dokter spesialis menebus obat tunggu2 obatnya aplikasi notif pesanan ditujuan aplikasi bobrok bertanggung,negative
Halodoc,"Suka banget dengan pelayanan dokternya, aplikasi juga simple.. cuman kendala top up nya. Dan juga kendala wilayah tidak tersedia untuk wilayah pulau sumbawa ntb",4,suka banget pelayanan dokternya aplikasi simple cuman kendala top up nya kendala wilayah tersedia wilayah pulau sumbawa ntb,positive
Alodokter,Bgus,5,bgus,positive
Halodoc,Gratis dong,2,gratis,negative
Alodokter,sangat puas sekali🥰🥰,5,puas,positive
Halodoc,"Obat tidak lengkap..minta obat "" A "" di bilang tidak tersedia di hallodoc padahal itu obat umum...tolong perbaiki stock obatnya",2,obat lengkapminta obat a bilang tersedia hallodoc obat umumtolong perbaiki stock obatnya,negative
Alodokter,"dokternya baik, ramah, tpi di dokter keburuhang mau nutup sesi chat,. pdhl pasienny ingin sekali konsul sepuasnya dok",4,dokternya ramah tpi dokter keburuhang nutup sesi chat pdhl pasienny konsul sepuasnya dok,positive
Halodoc,Bagus,4,bagus,positive
Halodoc,Bagus,5,bagus,positive
Alodokter,Coba,2,coba,negative
Alodokter,Cukup membantu,4,membantu,positive
Alodokter,Gimana sih rugi dong gue bayar 3 kali masa kaga ada yang di respon bisa duit gue di balikin aja konsul aja kaga pengembalian duit KALO ADA YANG MAU DONLOAD JANGAN DEH MENDING HALO DOC AJA CEPAT RESPON KAGA KAYA APLIKASI INI MAU DUIT NYA DOANG,1,gimana sih rugi gue bayar 3 kali kaga respon duit gue balikin aja konsul aja kaga pengembalian duit kalo donload deh mending halo doc aja cepat respon kaga kaya aplikasi duit nya doang,negative
Halodoc,"hii, aplikasi sangat membantu",5,hii aplikasi membantu,positive
Alodokter,Halo dok saya mau tanya,2,halo dok,negative
Halodoc,banyak sekali komplain yg beli obat terus obat kosong dan gak di refund duitnya ...jd takut mau beli obat di sini,2,komplain yg beli obat obat kosong gak refund duitnya jd takut beli obat,negative
Alodokter,sangat membantu,5,membantu,positive
Halodoc,Mau deliv obat 2 kali gagal Pengembalian uang gk langsung ke rekening malah masuk saldo halodoc Payahhhh,2,deliv obat 2 kali gagal pengembalian uang gk langsung rekening masuk saldo halodoc payahhhh,negative
Halodoc,sangat membantu dalam keadaan darurat,5,membantu darurat,positive
Halodoc,"Cari RS terdekat tidak bisa, GPS error, pesan obat susah. Aplikasi bodoh. Mebding pake aplikasi Alodokter yang warna biru.",1,cari rs terdekat gps error pesan obat susah aplikasi bodoh mebding pake aplikasi alodokter warna biru,negative
Alodokter,Saya mau tanya bapak ibu gimana cara mengatasi lemah syawat,2,gimana mengatasi lemah syawat,negative
Alodokter,Gk berpengalaman org2nya,1,gk berpengalaman org2nya,negative
Alodokter,Tolong min aplikasinya agak eror saya sudah verifikasi tapi tidak di tanggapi,1,tolong min aplikasinya eror verifikasi tanggapi,negative
Halodoc,saya tidak bisa buat janji lagi vaksin dosis 2. ini kenapa apa yang salah ???,3,janji vaksin dosis 2 salah,negative
Halodoc,Jelek,1,jelek,negative
Alodokter,saya baru saja dapat tlpn katanya dari pihak Alodokter apakah itu benar apa salah tapi pihak pnlpn memaksa ingin minta no rekening saya apakah benar itu dari pihak alodokter apa bukan ya,3,tlpn alodokter salah pnlpn memaksa no rekening alodokter ya,negative
Alodokter,Alhamdulillah sedikit terbantukan dg aplikasi ini. Beragam informasi seputar kesehatan bisa didapat. Cuma saran obat yg diberikan kdg msh kurang efektif.,4,alhamdulillah terbantukan dg aplikasi beragam informasi seputar kesehatan saran obat yg kdg msh efektif,positive
Halodoc,aplikasi sangat membantu,4,aplikasi membantu,positive
Halodoc,Kadang suka dapet telpon mengatas namakan halodoc dapet fasilitas apa lah kalo terkena deman DBD sebesar 2 juta terus suruh ngisi link apa gitu dan minta nomer rekening itu bener apa engga sih ? Kalau misalkan itu salah sayang banget padahal aplikasinya membantu tapi disalahgunain,2,kadang suka dapet telpon mengatas namakan halodoc dapet fasilitas kalo terkena deman dbd 2 juta suruh ngisi link gitu nomer rekening bener engga sih salah sayang banget aplikasinya membantu disalahgunain,negative
Alodokter,Sangat membantu,5,membantu,positive
Alodokter,Semakim gak jelassssssss pelayanan burukkkkkkk. Chat dianggurin 20menit anjaaay bener2 duit gue terbuang siang2 jawaban semuanya template,1,semakim gak jelassssssss pelayanan burukkkkkkk chat dianggurin 20menit anjaaay bener2 duit gue terbuang siang2 template,negative
Halodoc,"dibanding minta maaf lebih baik berkilah ""kalau nanti ada kejadian seperti ini lagi"" blablablablabla. Kenapa ga pihak halodocnya aja yang evaluasi sistem?, kenapa harus pasien yang evaluasi juga?. bukannya egois gamau ya, saya sampe rendah hati mikir ""mungkin salah saya kurang teliti"", saya lunasin tuh tagihan yang bukan kesalahan saya karna kesalahan profile katanya. malah kaya begitu responnya.",1,dibanding maaf berkilah kejadian blablablablabla ga halodocnya aja evaluasi sistem pasien evaluasi egois gamau ya sampe rendah hati mikir salah teliti lunasin tuh tagihan kesalahan karna kesalahan profile kaya responnya,negative
Alodokter,terimakasih dokter semoga aku cepat sembuh dari kulit muka ini,5,terimakasih dokter semoga cepat sembuh kulit muka,positive
Halodoc,Bagus,3,bagus,negative
Alodokter,"dokternya baik,, terimaksih banyak dok",5,dokternya terimaksih dok,positive
Alodokter,"puas, responnya agak lambar",2,puas responnya lambar,negative
Halodoc,Waktu tgu dokter hanya 10 mnt. Blm sempt konsultasi tdk bs refund,1,tgu dokter 10 mnt blm sempt konsultasi tdk bs refund,negative
Alodokter,"Pelayanan dokter bagus dan cepat, terutama dokter spesialisnya, sayang bagian aloshop tidak sigap dan terkesan menyepelekan( amat sangat late respon). Padahal pembayaran kami ontime..",3,pelayanan dokter bagus cepat dokter spesialisnya sayang aloshop sigap terkesan menyepelekan late respon pembayaran ontime,negative
Halodoc,Apk SAMPAH!! MANA YG KATANYA 24JAM? PESANAN SAYA BLM SAMPE JUGA!! PDHL PAKE YG EXSPRESS,1,apk sampah yg 24jam pesanan blm sampe pdhl pake yg exspress,negative
Halodoc,"Kasih voucher ke driver ga niat 100% syarat nya berlaku untuk pengguna baru. Driver yang udah pernah mesen jd ga bisa pakai semua voucher lah. Kalo kasih voucher yg niat lah buat driver jangan setengah2. Klo mau bantu ya full ga usah pake embel2 pengguna baru ribet, ga praktis.",1,kasih voucher driver ga niat 100 syarat nya berlaku pengguna driver udah mesen jd ga pakai voucher kalo kasih voucher yg niat driver setengah2 klo bantu ya full ga pake embel2 pengguna ribet ga praktis,negative
Halodoc,bagus sekali aplikasi ini sangat bermanfaat sekali banyak diskon nya juga🫰🫰🫰,5,bagus aplikasi bermanfaat diskon nya,positive
Alodokter,singkat padat jelas,4,singkat padat,positive
Alodokter,"Tolong dong diibantu & diberi penjelasan serta penyelesaian, baru tahun lalu saya downlod ni app alodokter tapi belom pernah Nikmati/ Makai fasilitas yg ada di app ini Tapi kenapa selalu di auto debit hampir 50ribuan tipa bulannya🙏",3,tolong diibantu penjelasan penyelesaian downlod ni app alodokter belom nikmati makai fasilitas yg app auto debit 50ribuan tipa bulannya,negative
Halodoc,layanannya nggak terpesona! tolong diperbaiki!,3,layanannya nggak terpesona tolong diperbaiki,negative
Alodokter,Ya ampun bego banget sich w ko bisa2 nya ke tipu😫ko dia tau nya data2 kita pas baca ulasan2 yg lain astagfirallah halazim ternyata ini aplikasi penipuan mana w dh kasih no rekeningnya untung nya rekening nya kosong,2,ya ampun bego banget sich w ko bisa2 nya tipuko tau nya data2 pas baca ulasan2 yg astagfirallah halazim aplikasi penipuan w dh kasih no rekeningnya untung nya rekening nya kosong,negative
Halodoc,"Memilih alamat pengiriman hanya bisa menggunakan maps, tetapi lokasi juga tidak akurat. Segera di perbaiki.",1,memilih alamat pengiriman maps lokasi akurat perbaiki,negative
Halodoc,Waktunya terlalu singkat buat konsultasi,3,singkat konsultasi,negative
Halodoc,"Dana udah kesedot malah di batalkan sama dokter nya.. dana nya hilang konsul nya juga hilang, gpp dah itung"" sedekah",1,dana udah kesedot batalkan dokter nya dana nya hilang konsul nya hilang gpp dah itung sedekah,negative
Alodokter,sangat membantu,5,membantu,positive
Halodoc,sangat membantu,5,membantu,positive
Halodoc,"Sangat tidak membantu, tidak seperti aplikasi sebelah yg memberi waktu yg panjang dan dokter sama sekali tidak solutif, sangat mengecewakan padahal harga lebih mahal dri aplikasi sebelah 👎",1,membantu aplikasi sebelah yg yg dokter solutif mengecewakan harga mahal dri aplikasi sebelah,negative
Alodokter,dokternya ramah dan baik,4,dokternya ramah,positive
Alodokter,"Hallo, dr Diana, saya konsultasi ke dr internis, dan langsung diberi resep obat FORXIGA, saya lihat ini obat paten dan harganya lebih dari 10 x harga obat generik : METFORMIN.Saya heran dokter di Indonesia ini suka sekali kasih obat paten dan tidak mau kasih obat generik ? Kalau saya bandingkan dgn dokter2 di RS Penang, Malaysia, mereka tidak mau langsung kasih obat paten, sedapat mungkin dikasih obat generik. Ada apa dgn dokter di Indonesia ?",3,hallo dr diana konsultasi dr internis langsung resep obat forxiga lihat obat paten harganya 10 x harga obat generik metforminsaya heran dokter indonesia suka kasih obat paten kasih obat generik bandingkan dgn dokter2 rs penang malaysia langsung kasih obat paten sedapat dikasih obat generik dgn dokter indonesia,negative
Halodoc,oke,4,oke,positive
Alodokter,Tdi siang saya di tlpon pihk ala dokter ktany saya terpilih grtis asuransi demam berdarh dan saya juga mnang jminan sbsr 2 jta dri pihk aladokter,2,tdi siang tlpon pihk ala dokter ktany terpilih grtis asuransi demam berdarh mnang jminan sbsr 2 jta dri pihk aladokter,negative
Alodokter,Gratisnya dong,1,gratisnya,negative
Alodokter,Jawabannya memuaskan dan quick respon,3,jawabannya memuaskan quick respon,negative
Halodoc,"Kak saya mau tnya ,klaw mau tnya ke halodoc masak bayar kak? Makasih sebelumnya",3,kak tnya klaw tnya halodoc masak bayar kak makasih,negative
Halodoc,"Tolong dong untuk dokter dounglas hutahaean jangan persulit pasien ini kepala saya udah pusing malah di batalin, saya sudah konsultasi sama dr. Yesinta diandra.. Sudah saya jawab loh dokter dounglas ini udah enggak tahan sakit kenapa di batalin.. Gimana nih tanggung jawab dari dokter.. Harus pingsan dulu saya buat dapet obat.",2,tolong dokter dounglas hutahaean persulit pasien kepala udah pusing batalin konsultasi dr yesinta diandra loh dokter dounglas udah tahan sakit batalin gimana nih tanggung dokter pingsan dapet obat,negative
Alodokter,pelayanan dokter di alodokter sangat baik,5,pelayanan dokter alodokter,positive
Halodoc,"tolong, drg atas nama wulan asri kenapa belum ngasih catatan dokter dan resep ya? udah dari hari selasa",4,tolong drg nama wulan asri ngasih catatan dokter resep ya udah selasa,positive
Alodokter,Mau tanya apa benar dari Alodokter ini memberikan asuransi Demam berdarah senilai 2juta rupiah selama 1 tahun bagi pengguna aplikasi alodokter?? Barusan saya dpat telfon yg mengatasnamakan dari alodokter. Dan kyk memaksa minta nomer rekening juga. Mohon pencerahannya,2,alodokter asuransi demam berdarah senilai 2juta rupiah 1 pengguna aplikasi alodokter barusan dpat telfon yg mengatasnamakan alodokter kyk memaksa nomer rekening mohon pencerahannya,negative
Halodoc,"awalnya 2x saya pesan inhaler untuk asma gada kendala pas ke3x nya saya pesan inhaler ternyata kurir nya salah kirim ke alamat lain , buat laporan ke aplikasinya gada tanggapan sama sekali padahal itu inhaler sangat2 emergency apalagi waktu itu keadaan larut malam , dan saya pilih aplikasi halodoc tipe pengiriman instan , jujur dalam segi keamanan pesanan komsumen buruk sekali , sangat sangat buruk apalagi ini menyangkut ke sehatan , aplikasi sampah",1,2x pesan inhaler asma gada kendala pas ke3x nya pesan inhaler kurir nya salah kirim alamat laporan aplikasinya gada tanggapan inhaler sangat2 emergency larut malam pilih aplikasi halodoc tipe pengiriman instan jujur segi keamanan pesanan komsumen buruk buruk sehatan aplikasi sampah,negative
Halodoc,sangat membantu sekali,4,membantu,positive
Halodoc,"Lumayan untuk konsul ke dokter nya, akan tetapi saat pembelian obat yang saya alami dan obat tersebut di batalkan tidak tahu alasan nya dan saldo saya di kembalikan akan tetapi hanya mendapatkan 103.100 saja diamana saldo awal saya 126.500 dan kemana kah sisa saldo saya tersebut? Parah sih sistem aplikasi nya",2,lumayan konsul dokter nya pembelian obat alami obat batalkan alasan nya saldo kembalikan 103100 diamana saldo 126500 kemana kah sisa saldo parah sih sistem aplikasi nya,negative
Alodokter,"cukup jelas penyampaian nya, jadi mudah di pahami",5,penyampaian nya mudah pahami,positive
Halodoc,sangat membantu,4,membantu,positive
Halodoc,Tidak bisa mencarikan apotek yang 1 resep itu tersedia semua obatnya. Kalau beda2 apotek jadi mahal ongkir,2,mencarikan apotek 1 resep tersedia obatnya beda2 apotek mahal ongkir,negative
Halodoc,"Aplikasi ini sangat membantu, dan dokternya juga baik dan ramah",5,aplikasi membantu dokternya ramah,positive
Halodoc,Kirain pengguna baru bisa gratis dulu sekali. Mengecewakan padahal mendadak blogg!,2,kirain pengguna gratis mengecewakan mendadak blogg,negative
Halodoc,Sangat membantu,4,membantu,positive
Alodokter,Terespon dengan cepat,4,terespon cepat,positive
Alodokter,respon lumayan cepat,4,respon lumayan cepat,positive
Alodokter,"SUPER BINGUNG CHAT DOKTER 1 ARAH DOANG GA BISA BALES SAMA SEKALI NGOCEH AJA DIA SENDIRI Gimana mau nanggepin ato minta saran yg lain yaa... Di ending baru di kasi Chat Terus dia masih nanya nama sama umur, emg ga keliatan profile nya? Halodoc debest",1,super bingung chat dokter 1 arah doang ga bales ngoceh aja gimana nanggepin ato saran yg yaa ending kasi chat nanya nama umur emg ga keliatan profile nya halodoc debest,negative
Halodoc,good,4,good,positive
Alodokter,seneng bisa konsul disini💗,4,seneng konsul,positive
Halodoc,downloadnya lama banget,2,downloadnya banget,negative
Halodoc,lantas apa yg diharapkan dr dokter ONLINE,2,lantas yg diharapkan dr dokter online,negative
Alodokter,saya sangat senang dan puas dgn dokter soal respon cepat dan santun,1,senang puas dgn dokter respon cepat santun,negative
Alodokter,Sangat membantu,3,membantu,negative
Halodoc,sangat membantu,5,membantu,positive
Halodoc,4 dulu klo resep dari dokter work bintang 5,4,4 klo resep dokter work bintang 5,positive
Halodoc,"Pengiriman barang tidak sesuai estimasi yang tercantum di aplikasi, estimasi 3 hari jd lebih, jelek sekali ini aplikasi, payah, ga profesional, ga usah jual obat aja, payah ga solutif",1,pengiriman barang sesuai estimasi tercantum aplikasi estimasi 3 jd jelek aplikasi payah ga profesional ga jual obat aja payah ga solutif,negative
Halodoc,Semoga membantu dengan resep dokter yang diberikan,4,semoga membantu resep dokter,positive
Halodoc,Karena biaya konsultasinya beda lgi dengan obatnya.mohon di peringan untuk yg mau berobat,4,biaya konsultasinya beda lgi obatnyamohon peringan yg berobat,positive
Alodokter,Okkk bagus sekali,2,okkk bagus,negative
Halodoc,Saldonya kok ga langsung dibalikin setelah transaksi dibatalkan? Kapok pake halodoc,1,saldonya ga langsung dibalikin transaksi dibatalkan kapok pake halodoc,negative
Alodokter,Saran Solusinya dapat di fahami dan bagus.,3,saran solusinya fahami bagus,negative
Alodokter,Gimana sih ini aplikasi pengin masuk susah amat gagal melulu gak jelas banget aplikasi ini Aplikasi penipu sampah,1,gimana sih aplikasi pengin masuk susah gagal melulu gak banget aplikasi aplikasi penipu sampah,negative
Alodokter,Jahai,2,jahai,negative
Halodoc,👍👍,4,,positive
Halodoc,"Baru pertama konsultasi; sangat responsif dokternya.. Tuk resep yg diksh blm kita buktikan; next stelah sy meminum obatnya dan mmakai salepnya; sy akan tambahkan komen sy, ok...",4,konsultasi responsif dokternya tuk resep yg diksh blm buktikan next stelah sy meminum obatnya mmakai salepnya sy tambahkan komen sy ok,positive
Alodokter,Mudah mudahan bisa membantu,4,mudah mudahan membantu,positive
Halodoc,"Baru sekali menggunakan aplikasi ini, tapi dokternya luarbiasa cepat merespon dan aktif dalam menjawab. Trim kasih",4,aplikasi dokternya luarbiasa cepat merespon aktif trim kasih,positive
Alodokter,"Untuk chat gratis sekarang udah gak ada, sekarang mesti bayar dulu..",3,chat gratis udah gak mesti bayar,negative
Halodoc,bermanfaat sekali,4,bermanfaat,positive
Halodoc,Sangat Membantu. Terutama di kondisi Pandemi. Tapi tolong diEvaluasi Ketersediaan Obat di Apotik rekanan HALODOC di Kota MANADO. Untuk resep obat batuk biasa saja Apotik suka habis. Jadi sia2 konsultasi dgn dokter ujung2nya obat yg diresepkan ga ada di Apotik. Jadi rugi dong saya harus chat kembali dobel biaya. Ini Masukan agar HALODOC lebih baik lagi. Sudah pakai fitur chat with us tapi jawaban CS HALODOC sbb: CS Tidak bisa merubah produk obat & menyarankan konsultasi lagi dgn dokter😞,3,membantu kondisi pandemi tolong dievaluasi ketersediaan obat apotik rekanan halodoc kota manado resep obat batuk apotik suka habis sia2 konsultasi dgn dokter ujung2nya obat yg diresepkan ga apotik rugi chat dobel biaya masukan halodoc pakai fitur chat with us cs halodoc sbb cs merubah produk obat menyarankan konsultasi dgn dokter,negative
Alodokter,Ga banyak membantu,1,ga membantu,negative
Alodokter,Sangat membantu dalam keadaan urgent,4,membantu urgent,positive
Halodoc,ok,5,ok,positive
Alodokter,"Maap nag nanyak, 🙏, buat nanyak2 ke alodok, itu apa ada pembayaran duluu sihh",3,maap nag nanyak nanyak2 alodok pembayaran duluu sihh,negative
Halodoc,Kenapa error terus 🤧,1,error,negative
Alodokter,sangat responsif,5,responsif,positive
Alodokter,"Saya chat dokter nya pas posisi masih online, tpi tiba2 dokternya offline, pesan belum di jwab smpe 30 menit, tpi udah dapat notif kalo chat berakhir. Saya belum dapat jawaban.. Ini mksudnya gimana? Udh trlanjur bayar gk dapat solusi.. 😠😠😠",2,chat dokter nya pas posisi online tpi tiba2 dokternya offline pesan jwab smpe 30 menit tpi udah notif kalo chat mksudnya gimana udh trlanjur bayar gk solusi,negative
