application,review,rating
Halodoc,"cepat svcnya, mantab",5
Halodoc,"Oke good banget, sangat membantu",5
Alodokter,"Tadi ada yang telepon, katanya dari alodokter, yang katnya harus ikut asuransi dan membayar prei sekian rupiah, dan bisa di klaimkan kalo sakit demam berdarah, dan harus kirim nmr rekening, tapi karena belum selesai, batre hp loubet, apa benar yg tlpn dr alodokter, 7",3
Halodoc,Bermanfaat bagi yg mau konsul dr rumah saja,4
Halodoc,Bagus komunikatif,5
Halodoc,Aplikasi lama banyak bug terus knapa harus konsultasi kalo mau beli obat dlu mana kadang gk dibales malah didiemin sampe sesi abis,1
Alodokter,Mksh yg selalu kasih jwbn yg positif,4
Halodoc,"Saya nunggu mau konsultasi lama, giliran dibatalkan kok saldo tetap kepotong ya? Aneh!!!!",1
Alodokter,Udah bayar ga dibls chat nya. Trus main tutup aja. Enak aja nih app. Ga gitu dong. Gua ga ikhlas lahir bathin tu duit ye. Ini org sakit loh.,1
Halodoc,"Pernah pakai aplikasi ini. Pelayanan nya cepat sih, dokter nya juga enak. Sayang saat obatnya tiba, kita cek ternyata KADALUARSA!! Jadi gak keminum deh obatnya, udah beli mahal² tapi gak keminum. Utk mitra halodoc, lainkali cek dulu ya obatnya sebelum dikirim.",2
Halodoc,Ruwet proses claimnya,1
Halodoc,"Lama nunggu kurirnya aja sih, slebihnya oke",4
Alodokter,aplikasi hanya utk orang berduit.. download kan pakai kuota..berbayar semuanya..apa bedanya sama datang langsung ke klinik.. alhasil utk pasien BPJS seperti saya..paling ujung2nya ke puskesmas..🥲🥲..Rp 49.000 bisa utk bli obat yg ga d cover BPJS..atau bisa bt bli makan sesudah makan obat,1
Alodokter,Uang gua ditilep anying tolol,1
Alodokter,"Di aplikasi tidak ada keterangan ada biaya tambahan reservasi via aplikasi alo dokter, pas sampai RS ada biaya tambahan 55rb",1
Halodoc,"Gagal verifikasi profil dan ternyata per hari dibatasi upload ktp nya, padahal sy perlu cepat",2
Halodoc,Mau daftar vaksin tapi minta code voucher. Dapat code vouchernya dari mana? Tolong penjelasannta,2
Alodokter,respon sangat cepat,5
Alodokter,Baik,3
Halodoc,Sangat menbantu tapi blom begitu paham cara mengunakannya,3
Halodoc,"Konsultasi ga membosankan, dan bisa mencarikan solusi bukan cuma memberi obat tpi juga saran yg baik.",4
Alodokter,Kenapa ya alodok sekarang prabayar🥺ga seperti dulu lagi😭keselll bgt,2
Halodoc,Sdh 40 mnt putar2 terus jd sampai saat ini sy blm bisa buka itu aplikasi halodoc,2
Halodoc,Respon dokternya cepat,2
Halodoc,"udah lama terbantu dgn aplikasi ini, klo mendadak tengah malam sakit, di Jakarta. Dan lebaran thn ini sudah support di kota kecil Jombang, Jatim. sebelum2nya blm bisa pengiriman instant, skrg udah bisa. terima kasih. semoga segera berlanjut ke dusun2 kecil di kabupaten Magetan. soalnya lebarannya di 2 tempat itu 😁😁",5
Alodokter,Dokter nya sangat ramah dan dapat membantu semua pertanyaan saya jadi faham dan mengerti,3
Alodokter,mantap,5
Halodoc,Mau beli obat aja di persulit harus konsul dulu,1
Halodoc,sangat dipermudah,5
Alodokter,Ok,4
Halodoc,Kenapa eror loading message ya ?,2
Alodokter,Sangat membantu sekali karna bisa direspkan langsung obatnya...,4
Halodoc,jos,5
Halodoc,"Dokternya sangat ramah,gk nyesel Download ini.",3
Alodokter,Alhamdulillah sangat membantu saya terimaksih good hallo doc,2
Alodokter,"Ada yang menghubungi saya mengatas namakan Alodokter padalah saya udah hapus aplikasinya, lalu menawarkan chat ulimited dan layanan beli obat dengan antar gratis, saya udah nolak tapi maksa dan jadinya saya tutup telpnya lalu di blokir. Keamanan data saya gmn???",2
Alodokter,Lumayan membantu. Tapi juga ada yang kurang puas. Mungkin karena juga lumayan murah,4
Alodokter,Alhamdulilah ada aplikasi ini bisa bertanya keluhan aq... Membatuu biar gak bingung,3
Alodokter,"Dokternya lama balas, padahal 24 jam tulis disitu",1
Halodoc,beberapa ada dokter yang menjawab seadanya saja tidak mendengarkan lebih dalam keluhan pasien sudah dua kali spt ini.. pertama dokter psikolog yg kedua dokter spesialis,2
Halodoc,やしゃしいいしゃ,5
Alodokter,baru mau coba semoga bermanfaat,5
Alodokter,"ksih 1 aja. kenapa.....? coba pikirkan baik2 kawan.... kita tidak di obati. tp harus bayar. obat nya hanya dgn kata2. mana bisa sembuh. hadeuhhhhh😒😔. dan pertanyaan kita tidak selalu di balas sepenuhnya. dan akhir2 kata doc nya pasti ""coba pergi ke dokter terdekat, dan berkonsultasi dgn dokter"". mendingan jangan di tanya kesini kawan.",1
Halodoc,Membatu membuat janji hingga pencarian lab dan rumah sakit terdekat,3
Halodoc,Tidak bisa pakai ovo dan isi saldo dmn,3
Halodoc,sangat sangat membantu saya untuk mengetahui apa yang saya alami dan menenangkan saya dalam situasi apa pun,5
Halodoc,"Aplikasinya barusan diperbaharui, terus buka diperbaharui, diperbaharui, diperbaharui, diperbaharui.... Capek",2
Alodokter,sangat membantu keluhan kita,4
Halodoc,Mantap,4
Halodoc,Mau nanya kalo kita konsul/chat sm doctornya d kenakan tarif ya kan ad d bawah tarifnya 25K sampai lebih dari 100k,3
Halodoc,Pembayaran nya sih kurang lengkap harusnya ditambahin cod,3
Halodoc,Halodoc sangat bagus pelayanannya.,5
Halodoc,pengalaman menyenangkan,5
Alodokter,Biarpun responnya agak lambat tapi tetap memutuskanlah.,4
Halodoc,sangat membantu,5
Halodoc,Mantaplah dan sangat membantu,4
Alodokter,Good,3
Alodokter,"apotiknya jauh, respon csnya lama",1
Halodoc,Okelah,3
Alodokter,"saya nunggu lama ok gpp,tapi dokter tidak menjawab lalu tiba2 dokter offline,dan di katakan bahwa sesi chat telah habis,rugi banget tidak dapat jawaban dan uang hilang,bagaimana nih pihak alodokter",1
Alodokter,"Aplikasi sialan kembalikan uang saya woy saya beli pakai uang bukan kertas sampah ,ngembaliin lama sekali woy",5
Alodokter,"Ada opsi chat dokter umum gratis, jd senang. Tp kalau utk tebus resep, ga bs kita bawa resepnya ke apotek yg terafiliasi, trus nebus sendiri tuh, apotek deket rumah ga mau. Katanya harus dikirim pake gojek gt. Entah benar entah tdk. Andai apotek yg berafiliasi mau terima print resep dr alodok, pasti lbh josss lg..",4
Alodokter,"kirim kode verifikasi nya 60 detik, baru dikirim sekitar detik ke 55, sisa 5 menit buat masukin kode aja kodenya udah nggak valid, udah coba 5 kali hadeh suruh nunggu 1 jam lagi",3
Halodoc,pelayanan memuaskan,5
Halodoc,"HIDUP LAGI CAPE2 NYA, kalo emg dokternya lg sibuk jangan di taruh di rekomendasi dong, saya udah bayar jadinya transaksi gagal, mana voucher hanguss, uang ga langsung di kembalikan",1
Halodoc,"Ini gimana ? Kok masih tetap meskipun sudah di komplain via email ? Saya tetap gabisa melakukan pembayaran. Saya baru download lagi, dan sudah saya sambungkan ke gopay tetap tidak bisa. Mohon ya segera ditindak lanjuti !! Kemarim via email sudah dibalas, tp masih tetap, dan di email lagi gak dibales. Hadeh",3
Halodoc,"Saya sudah bayar, tapi ketika waktu konsultasi dokternya malah offline dan tidak ada balasan, sangat mengecewakan👎",1
Halodoc,"2 dulu sj ,biar tetap membumi",2
Halodoc,Kenapa saat saya connect dgn Gopay selalu gagal? Pdhl pin gopay sudah benar.,3
Alodokter,Pengalaman pertama bagus,4
Alodokter,"Mohon maaf ya bulan depan sy mau berhenti langganan, karna saldo sudah terpotong tp chat msh berbayar",2
Alodokter,Proses beli obatnya lama banget,3
Halodoc,"Pembatalan sepihak, mana hari dah malam dan butuh obatnya. SANGAT MENGECEWAKAN",1
Halodoc,"Baru pertama kali konsul di sini untuk masalah kukit wajah berjerawat, sudah dikasih resep dan mau coba malem ini semoga ada kemajuan hasil yg bagus di kulitku aamiin, thx halodoc",4
Halodoc,Tiba² banget voucher ga bisa di gunakan padahal tanggal voucher masih sampai 28 feb 😔,1
Alodokter,Alhamdulillah bisa jadi tenang setelah konsultasi dengan ala dokter tapi sekarang harus bayar semua tidak ada free nya ..,4
Halodoc,👍🏻,4
Halodoc,Membantu dikala masih bimbang apa yg harus dilakukan setelah menerima hasil dari rs,4
Alodokter,"Semalam saya konsultasi ke dokter penyakit dalam, setelah konsultasi dikasih resep saya bayar via trf BCA sayq trf jam 22.01 sampe sekarang pagi jam 05.25 obat saya belum datang, saya telpon apotek yg ditunjuk ternyata apotek belum terima resep saya. Saya chat via wa jawabannya amat sangat mengecewakan hanya pesanan sedang diproses harap menunggu. Tolong yaa pelayanan parah banget saya butuh obat malah sampe sekarang obat ngga ada.",1
Alodokter,"dokt nya cepat banget respon, dan baik banget, makasih atas bantuan nya dokt 🙏",5
Alodokter,"Gak bakal pakai alodokter lagi, jawabannya terlalu umum dan kurang spesifik jawabnya cuma ya tidak ya tidak doang, terkesan menyepelekan biaya yang sudah di keluarkan untuk membayarnya, udah gitu sesi bertanya jawabnya juga terbatas banget paling 20 menit udh di close ama dokternya gak ramah juga. Terimakasih ini review jujur karena duit yang di keluarkan tidak sebanding dengan pelayanan dan tidak konsultasi maximal, padahal sudah nyoba 2x yg prtma buruk, nyoba lagi kedua tetap aja buruk!",1
Alodokter,"dokter sangat ramah dan berpengalaman, dan responya sangat cepat",5
Alodokter,"Aplikasi ga up to date, kalau pesan obat ga bisa dihubungi kurirnya. Kurir kadang ga komunikasi dulu, bingung jadinya barang diantar kemana. Fiturnya ketinggalan banget",1
Halodoc,goodlaah,5
Alodokter,"dokternya banyak yang ga ramah, harusnya bintang 1",3
Halodoc,Dokternya mengulur waktu dan mengakibatkan konsultasi tidak selesai dalam satu transaksi,1
Halodoc,terima kasih ...tp tidak bs beli dengan cash harus debit dan gopay dan perbaiki ini iklan muncul di layar handphone terus ketika hp di buka,3
Alodokter,Kalo bisa ada BPJS juga,3
Halodoc,Sebelum menggunakan obat Jangka panjang sebaiknya datang langsung konsultasi ke dokter terkait (tatap muka.),3
Halodoc,konsultasi via chat sih emg bagus cepet juga dokternya juga fast respon tapi untuk pengiriman obatnya huhu sakitnya hari ini konsulnya hari ini masa iya harus nunggu 3 hari lebih untuk minum obatnya karena datangnya lama bgt 😢 semoga di perbaiki lagi untuk pengiriman obatnya. ini obat aku udh 3 hari ini belum datang 😢,3
Halodoc,Banyak promo tapi semua tidak bisa di pakai.....percuma di pajang,1
Halodoc,Ini kenapa ya ko saya mau daftar akun halodoc ga muncul kode Verifikasinya ya?? Padahal nomor dan kartu masih aktif dan masih saya pakai tetapi kode nya ga muncul terus ini gimana sih eror ya?,1
Halodoc,selalu puas dengan halodoc,5
Halodoc,"Filter area vaksinasi covid tidak bekerja, search pun juga, cukup membuat frustasi untuk mendapatkan info vaksin",2
Halodoc,Sukaa,4
Alodokter,Baru pertama msk ke wa ini ternyata bayar ??? Waduuuh kecewa aq ternyata boong,2
Alodokter,slow respon,4
Halodoc,Bisa konsul dengan mudah,4
Halodoc,Rzz itu tidak o,2
Halodoc,Mantab,3
Alodokter,Slow,2
Halodoc,gak bs di download,2
Alodokter,ramah sekali responnya ❣️,5
Halodoc,"Beli obat dari jm 9.30-10.30 gak ada konfirmasi sama sekali. Dibatalkan gak bisa, sampek tlp CS. Udah dibatalkan nunggu pengembalian dananya 3-5 hari kerja. Lama banget. Iya kalo orangnya ada uang lain, kalo cuma itu aja gimana. Gitu aja sulit bnget. Padahal dulu apa² pakek halodoc. Otw uninstall kalo gini",2
Halodoc,"Apk ga guna lagi ada penting banget,disuruh bayar",1
Halodoc,Ok ada Dr yg cocok dan ada juga yg tdk cocok resep obat nya,3
Alodokter,"Dr malam sampai pagi dokternya belum siap mengetik juga. Sangat mengecewakan dr. M imanyudi, sp.pd. penyakit dlm",1
Halodoc,63⁷7u,3
Halodoc,"Untuk pembelian obat pakai resep, Dokternya tidak responsif sampai waktu konsul habis, sudah 5x konsul tidak ada yg menjawab... !!!",1
Alodokter,"Sempat nyoba chat gratis, dokternya baik dan lumayan tanggap. Tapi saat saya pakai layanan berbayar malah pelayanannya sama saja. Seadanya dan dokternya sering offline. Jujur sih, ngerasa rugi banget soalnya udah bayar tapi kek chat kosong, enggak ngaruh dan begitu membantu. Padahal niatnya pakai layanan berbayar pengen lebih intens karena konsulnya juga lumayan serius. Sorry, but apk ini emang mines di situ 🙏",2
Alodokter,Kenapa sering ada yg nelpon saya dengan mengatas namakan alodokter..saya tdk tahu dia siapa mengganggu saja..tolong dijawab kenapa tlp saya!?,2
Alodokter,Saya senang banget nemu applikasi ini makasih al dokter,3
Alodokter,Sedikit membantu,4
Alodokter,"Saya sangat kecewa sama Alodokter, saya tidak dapat kouta promo chat lagi",1
Alodokter,Membantu memberi solusi tapi belum menjawab pertanyaan saya,3
Alodokter,susah menentukan dokter yang mau dipilih..cuma dokter umum,2
Alodokter,fast respon,5
Halodoc,Responnya kurang cepat. Dengan waktu yang sangat singkat,3
Halodoc,Membantu,4
Alodokter,pasien lebih sedikit bisa berbicara mengenai keluhannya,4
Halodoc,"Sudah payment tp malah dokter sibuk, ga ada chat juga, terus payment buat apaa?",1
Alodokter,Responsif dan Ramah..,5
Halodoc,Gabisa isi gender apk jelek,1
Alodokter,Memuaskan,4
Halodoc,"Sangat mengecewakan tool halodoc ini, akun asuransi tb2 innactive, parah",1
Halodoc,Pop up maksa nya tolong diilangin,1
Alodokter,"Di aplikasi status dokter nya online, tau nya setelah bayar biaya chat nya tiba2 dokter nya offline terus suruh cari dokter lain nya tetapi harus bayar lgi.",2
Halodoc,So far so good....sangat membantu,4
Halodoc,Sangat membantu,4
Alodokter,aplikasi sangat menjengkelkan saya sudah bayar tapi gaada konfirmasi bisa langsung cht malah suru bayar ulang penipuan tpi rate bagus jangan menjelekan aplikasi sendiri udh tau lgi urgent bgt lol,1
Halodoc,"Untuk booking Lab, tidak membantu sama sekali, karena kita tetap harus antri panjang dengan pasien yang datang langsung dan booking online lewat lab walaupun kita sudah datang sesuai jadwal di Halodoc. Jadi sama aja mending datang langsung atau booking online lewat Lab nya langsung. Semoga ke depannya ada perbedaan antara booking lewat halodoc dg booking online di Lab nya langsung. Bintang 2 dulu yaa",2
Alodokter,dokternya baik sekali,5
Halodoc,"Kecewa banget udah bayar ga bsa chat ama dokternya mana lagi urgent, ya allahh ada ajaa",1
Halodoc,top,5
Alodokter,2 bintang dulu apa baru masuk,2
Alodokter,Sudah bayar tapi tdk bisa tulis chat... Aplikasi abal2 ya... Untungnya hanya 9500.... Waspada ya teman2,1
Halodoc,Badan saya sakit semua,2
Halodoc,Biasanya pengguna baru ada gratis gtu ini mah langsung bayar beda sm d apk yg lain 🥱,2
Alodokter,Ga bisa dihubungi,3
Halodoc,sangat membantu,5
Halodoc,Mohon maaf Penjelasan kurang memuaskan,2
Halodoc,Ini aplikasi tidak gratis harus berbayar dulu untuk dapat chat dengan dokter.,2
Halodoc,Udah Aktifin paket sehat via tekomsel malah gak bisa di pake. Pelayanan buruk bikin kecewa,1
Alodokter,Keren bgt nih,4
Alodokter,Terima kasih aplikasi ini sangat membantu,3
Halodoc,ok,5
Alodokter,Membantu,2
Halodoc,membantu bgt sejak zaman covid,5
Halodoc,"Mohon di update sistem nya BANYAKIN MITRA APOTEK NYA, MASA SAYA PESEN OBAT VENTOLIN URGENT ALAMAT DI LAMPUNG PENGIRIMAN NYA DARI TANGSEL SANGAT TIDAK DIANJURKAN BAGI PENGGUNA DI LUAR PULAU JAWA!!!!",1
Halodoc,"terimakasih dr corry responnya, semoga cocok, aamiin",5
Halodoc,aplikasi ini sangat membantu saya,5
Halodoc,Diperbaiki lg tlg ya,1
Halodoc,"Mudah"" bisa menjadi solusi bagi saya untuk menjalani hidup kedepanya",4
Halodoc,Kenapa ko jadi sering banget saldo udah ketarik tapi ga bisa konsultasi dengan dokter nya?,2
Halodoc,cukup membantu,5
Halodoc,Uang refund saya yg pengiriman nya knpa tidak di kembalikan ya.. hanya uang obat nya saja,2
Halodoc,ALUR PEMBATALANNYA RIBET DAN LAMA BANGET RESPONSENYA,1
Alodokter,"Baru pertama kali pakai, sudah bayar nanya gak dijawab tau"" waktunya habis. Sia"" banget",1
Alodokter,"Gak pernah instal atau apapun kenapa auto debit, kurang ngajar bgt",1
Alodokter,"Parah ini apk sama nasib seperti sayav. Tau tau otomatis debit ke penggel malah gede bgt lagi. Cuma sekedar bantu sales aja . Eh ujung"" nya amsyonk..",2
Halodoc,"Obat saya pesan tidak datang, uang tidak dikembalikan...tidak memberikan solusi, hanya disuru menunggu menunggu terus...orang sakit disuru nunggu obat 1 bulan g ada kepastian",1
Alodokter,Apk yg bagus dan sangat bermanfaat untuk konsultasi masalah kesehatan,4
Alodokter,"Ini kok hapus akun, data dan riwayat masih tetap ada ya",1
Alodokter,"dokternya responsif, ramah, dan baik",5
Halodoc,"Ini gimana sih? Saya sudah buat janji melalui aplikasi halodoc, tapi pas di cek nama saya belum masuk di list dokternya. Uda nelpon CS nya juga, katanya mau dibantu urus tapi lama banget. Mana uda bayar mahal. Akhirnya saya didaftarkan ulang secara manual oleh pihak kasir rumah sakit, karena nunggu respon dari CS halodoc lama banget gajelas. Saya minta pengembalian dana saja, karena tidak jelas begini",2
Halodoc,"aku sudah bayar , dokternya nggak bisa dichat, akhirnya pembayaran sia2. mana lagi panik . anakku minum obat batuk dosisnya 2 kali lipat",1
Halodoc,"Aplikasi yang bagus, namun lebih baik pengguna dapat memilih apotek terdekat secara mandiri. Saya di karawang, ketika membuat order selalu mendapat apotek dari cikarang",3
Halodoc,"Sudah cukup baik, namun tolong apotiknya untuk didaerah jambi ditambah, supaya makin banyak ready obat-obatan nya,",4
Halodoc,sangat membatu bgt thnk dok liem,5
Alodokter,"tidak perlu antri di klinik. respon dokter cepat, dan ramah. bisa pilih2 dokter dulu",5
Alodokter,penjelasan yang sangat baik. lengkap dengan resep obat obatnya,5
Halodoc,Kok saya gak bisa ngjsi alamat ini ya,2
Halodoc,Sebelumnya sering konsul dg Drh. Karena harganya murahb35rb tp sekarang udh gk lagi karena pd naik jd 60rb.turunin lg jadi biar sy bisa konsul lg..padahal konsul di drh langsung cuman 40rb lo dn dapat suntikan vitamin tp sy sering gk ada waktu karena siang sibuk jualan dn malam sering kelelahan,4
Halodoc,"Sangat membantu walaupun GPS sering meleset, tapi untuk saat ini ada kendala : Saldo Asuransi masih banyak, tapi saat transaksi saldo Rp.0 di aplikasi Halodoc nya?",4
Alodokter,"sangat bermanfaat dan sangat membantu dalam berkeluh kesah, terimakasih",5
Alodokter,"Selamat malam Alo dokter,anak saya sakit asam lambung sd hampir setahun blm sembuh2 Juga,gmn cara mengatasi nya..padahal sd masuk rmh sakit trs mn rus....saya tgu info sehatnya utk anak saya, terima kasih 😇🙏",4
Alodokter,aplikasi ga jelas bgt! pas instal pihak sales bilang g ada biaya taunya debet otomatis! sama saja dengan pemerasan loh. apalagi di saat pandemi g kerja begini. uang di hemay malah kena debet. ati2 teman2.,2
Alodokter,Chat dengan dokter sudah baik. Tapi pemilihat alamat ketika ingin beli resep tidak bisa digunakan,3
Halodoc,Tepat sasaran setelah konsultasi,4
Alodokter,"cepat, tanggap dan ramah",5
Halodoc,tdk bagus,1
Halodoc,Penjelasan dari dokternya sangat jelas,5
Halodoc,"Ongkirnya cukup Mahal juga ya😌 ditambah tampilan ux dibagian keranjang kurang menarik karena harus menambahkan alamat berulang-ulang ketika memesan obat. Oh iya, sama kenapa gak Ada keterangan lokasi pemesanan obat diapp. Jadi pesan obat banyak tapi lokasinya beda-beda ongkirnya double",4
Halodoc,Konsultasi doang bayar Luar biasa ya kirain konsultasi nya gratis ternyata masih bayar gak nyangka,2
Halodoc,"Cara membalas pesan sangat cepat, dan jawaban yang diberikan juga bagus, Terima kasih halodoc",4
Halodoc,Saya sudah bayar tapi dokter nya tidak bisa menerima chat karena lagi sibuk. Setelah itu saya mau chat lagi harus bayar lagi. Koq halodoc sekarang kaya gini. Rugi banget udah bayar tapi ga bisa chat dokter.,1
Alodokter,lumayan untuk pengikut baru seperti saya,3
Halodoc,"Sangat membantu, terlebih di waktu weekend yang umum tak ada dokter.",5
Halodoc,pelayanan bagus,5
Alodokter,Terima kasih.,5
Halodoc,Sy driver gojek kmrn dpt pesan tuk vaksin covid tp harus bawa 2 orang lansia. Apa sy bs mendapatkn vaksin tnp membawa 2 org lansia ?,3
Halodoc,Gak bget,2
Halodoc,"Buat yg tempatnya cukup jauh cari RS, klinik dll pokoknya ini ngebantu banget",5
Halodoc,Transaksi gagal tp saldo go pay tidak kembali,3
Halodoc,"Bad... Wa csvga bisa. Driverblama dapetnya... Sekali dpt jauhhh di Depok, padahal pake ini karena biar mudahin beli obat",1
Halodoc,"Pelayanan sih Ok Cuman Aplikasi nya agak delay, sedikit kesulitan untuk pesan obatnya Untuk kedepannya mohon agar diperbaiki",3
Alodokter,membntu sekali cepat responnya,5
Halodoc,"Pesen obat udah berhasil, malah dicancel, alhasil uang nyangkut 1,6jt, giliran mau ditarik kagak bisa",4
Halodoc,Konsultasi dokter nya oke banget dan cepat. Tapi di pemesanan obatnya berkali2 di refund ke gopay pdhl sudah jdwalnya dikirim dan saya sudah nunggu seharian. Tanya ke cs nya malah disarankan melakukan pemesanan berkala mksude ki pie. Dan waktu memesan obat kan gak ada pilihan apotek mana yg join kerjasama. Gimana nih min,3
Alodokter,Tolong jangan memaksa org utk berlangganan berbayar utk konsul dg dokter.,2
Alodokter,"bagus, langsung ke inti nya",4
Halodoc,"Saya kecewa dengan aplikasi ini, mau melakukan pembayaran tapi harus melengkapi data salah satunya upload KK dan pasport. Tapi gak jelas.",3
Alodokter,"Aplikasi log out sendiri, log in susah, lelet padahal lagi sakit, gabisa keluar rumah, sekarang ribet dlu lebih mudah",1
Alodokter,Begini dok suami saya megalami penyakit kalium renda kira2 gimanaya dok gobatinnya makasi,1
Alodokter,👍,5
Alodokter,Chat hanya seputar pertanyaan ya dan tidak. Disuruh isi data2 penting gabisa ngisi karna gabisa balas chatnya. Tiba2 waktu habis karna kita ga balas chat. Lha kek mana maksutnya? Org kita gabisa balas chatnya ko di suruh balas. Ku balas disini aja po?,1
Alodokter,Terima kasih telah membantu keluhan saya 😇 semoga dapat membantu yang lain ☺,2
Halodoc,"Suka sih, tapi dengan waktu chat yang singkat ditambah jeda dari dokternya buat analisis dan mengetik.. jdi saya blm dapat resep obat udah selesai sesi chatnya... harus bayar lagi... ini bukan permainan kan?",5
Alodokter,Jawaban kurang pas,3
Alodokter,"banyak penjelasan yg bermanfaat, bisa jadi rujukan sebelum pergi periksa ke dokter ketika sakit, terimakasih",5
Alodokter,Jawaban nya jelas dan simpel,4
Alodokter,"Maaf pada pihak aplikasi,apa benar pihaknya mengadakan Askes DBD gratis dan penyakit lainnya berbayar dengan Rp39000 perbulan? Kalau tidak kenapa data kami sampai bocor dan bisa disalahgunakan oleh hacker?",2
Halodoc,"Sepertinya ada bug pada update terbaru untuk device Poco M4 Pro (HyperOS 1.0.1.0.TKEIDXM). Sebelumnya nggak ada masalah dalam penggunaan aplikasi ini. Tapi hari ini aplikasinya malah membuat freeze ponsel saat akan digunakan. Bukan cuma punya saya saja, tapi punya istri juga (ponselnya sama-sama Poco M4 Pro). Setelah clear data dan uninstall Halodoc, lalu restart device, ponsel saya normal lagi.",1
Alodokter,Sangat membantu.. terima kasih alodokter,4
Alodokter,Okeee,4
Halodoc,Bug yang meresahkan gak berguna,1
Halodoc,3 dulu,3
Alodokter,"Hampir setengah jam nunggu respon dokter sampe ketiduran, ga semua dokter sih sprti itu. Tp mmg fiturnya kita gabisa tau kapan dokter akan balas. Keterangannya 5 menit, tp lama banget",2
Halodoc,"Harga obat lebih mahal dari pada apotek offline, terlalu banyak cari untung, saran ku buat apotek tersendiri khusus halodoc, jadi biaya yang di beban kan ke pembeli hanya ongkir saja",2
Alodokter,sangat bermanfaat,5
Halodoc,Maps aplikasinya bosok. Gabisa ngasih rekomendasi tempat yg akurat,2
Halodoc,"Tiap mau pake harus install ulang. Krn gabisa sambung ke gojek. Kode otp nya kl di ketik, kolomnya lompat2 dan gabisa diketik semua kolomnya. Udh 3 bulan kyk gini",3
Alodokter,Baikk🙂,4
Halodoc,udah nyoba chat dokter sampe 3x ngga tersedia terus padahal status Online,2
Halodoc,Masa ga bisa pakai vouchrer dari gojek bilang nya kode promo sudag di hapus padahal baru dapet...dihh lucuu auto uninstal nih aplikasi,1
Alodokter,Tifak bisa masukdi negara selain indonesia,1
Halodoc,"Cukup membantu dengan keluhan sakit yang dialami, apalagi saat sakit susah untuk ketemu dokter secara langsung",3
Halodoc,Saya konsultasi sama dokter gila Belum selesai saya bicara langsung di akhirin nama nya dr kevin jaya s Tidak cocok anda sebagai dokter Kuli pasir lebih baik komunikasi nya dari pada anda tau itu,1
Halodoc,3 aja dlu,3
Halodoc,"respon dokternya menyenangkan ya , sat set ..",5
Alodokter,"Sangat membantu untuk information kesehatan Berkonsultasi dng Dr ,terimakasih good luck",4
Alodokter,"Dokter nya baik dan ramah.. Tetapi dokter tidak memberikan saran yang lain selain harus periksa ke dokter. Semoga kedepannya dokter bisa memberikan resep yang tepat, paling tidak untuk dapat mengurangi keluhan sebelum periksa ke klinik atau Rumah sakit. Terimakasih",4
Halodoc,ok,4
Halodoc,"kok ada ya dokter tiba2 tanya artis kak? dan minta follback, padahal konsulnya belum dijawab, resep obat jg belum dikasih kok dah bilang begitu, lucu banget si dokternya, di sosmednya di hapusin komentar lagi biar seolah-olah ga terjadi apa2 hahaha",1
Alodokter,simple dan praktis,4
Alodokter,"Cukup Membantu Masyarakat, di tengah masalah Pandemi Virus Corona(Covid-19)",3
Halodoc,Ok,4
Halodoc,Ternyata mbayar kirain gratis. Dan udah aku verivikasi pakek nomer ga bisa2,2
Halodoc,"Kenapa ya setiap mau membeli obat, ketika lihat keranjang selalu error?",3
Halodoc,bagus,3
Alodokter,Ok,3
Halodoc,Mf saya baru saja download aplikasi ini. Karena saya pingn tahu gejala sakit yg saya alami. Apakah d kenakan biaya bulanan🙏,2
Halodoc,Aplikasi halodoc ada yang gratis gak ya Yang spesialis,2
Halodoc,Respon cepat ...,4
Alodokter,"membantu banget,ini aplikasi bisa di istilahkan rumah sakit online",5
Halodoc,Sangat membantu,4
Alodokter,Lumayan puas,2
Halodoc,Ini memang aplikasinya sedang error apa gmn ya soalnya saya dari tadi mau pesan obat ga bisa memasukkan alamat sudah saya coba hapus aplikasi trus download ulang,3
Alodokter,"Terimakasih fast respon. Hanya saja saat minta resep,pas mau beli diaplikasi tebus obatnya di solo sama jakarta sedangkan yang sakit di jogja, jd hrs siap rencana cadangan. Tolong diperbaiki sistem aplikasinya",4
Alodokter,Oke,3
Halodoc,3 bintang dulu 🙏🏻,3
Halodoc,Sangat membantu,3
Halodoc,Penangan yang cepat jika ingin konsultasi satset,4
Alodokter,Dapat membantu untuk konsul gak perlu ke puskesmas,2
Alodokter,"pesen obat di alo dokter lamaa banget dari tgl 12 sampe tgl 15 ga datang datang. tgl 14 katanya dikirim, trs tanggal 15 gaada update apa apa dan gabisa dicancel terus ga dikasih resi. org yg urgent beli jg keburu masuk IGD, saking telatnya itu obat datengnya 😊",1
Halodoc,kok sekarang halodoc dokternya lama banget respon nya ya??? trs tdi bisanya dokter nya ga aktf. d upgrade malah ky gini -_- pdhl dri dlu pakai halodoc,2
Alodokter,Belum pernah chat sama dokter tpi ga apalah kasi bintang 3 mula2,3
Halodoc,"Untuk respon dokter nya atas keluhan pasien tidak terlalu gimana di tanggapi kurang ada penjelasan atas keluhan pasien nya dan ada juga yang menjelaskan dengan bahasa medis dan membuat pasien tidak terlalu paham dan ditanya juga gak gimana dijelaskan dan membuat pasien malas untuk melakukan pertanyaannya lagi,Yah mungkin memang gak semuanya tapi yang saya temui memang begitu .Terima kasih.",3
Halodoc,Untuk apotek ktdk menjangkau banyak,4
